room_type,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,is_weekend,city,realsum_cut,longitude_disc_2_093_2_347,longitude_disc_2_347_12_47,longitude_disc_12_47_12_583,latitude_disc_41_35_41_893,latitude_disc_41_893_48_837,latitude_disc_48_837_48_901
2,0,4.0,0,0,1,10.0,90.0,1,0.68810797,0.17170212,2.34619,48.85214,1,2,622.3786,True,False,False,False,False,True
1,1,2.0,0,0,1,10.0,97.0,1,4.093965,0.23877437,2.31419,48.8832,1,2,264.47012,True,False,False,False,False,True
1,1,2.0,1,1,0,10.0,97.0,1,2.6795168,0.64582837,12.52584,41.91734,1,3,95.85486,False,False,True,False,True,False
2,0,2.0,0,0,1,9.0,93.0,0,1.5478519,0.31715584,2.348,48.843,0,2,310.60678,False,True,False,False,False,True
2,0,6.0,0,1,0,10.0,97.0,3,2.020463,1.0231174,12.47822,41.89794,0,3,574.19403,False,False,True,False,True,False
2,0,2.0,0,0,0,8.0,100.0,0,2.9811592,0.2430011,2.36878,48.88121,1,2,243.26591,False,True,False,False,False,True
2,0,2.0,0,0,0,9.0,95.0,1,1.2644064,0.048194874,2.36993,48.85568,1,2,324.35455,False,True,False,False,False,True
1,1,2.0,1,1,0,10.0,97.0,1,8.136871,0.29450253,12.46657,41.83265,1,3,103.8038,False,True,False,True,False,False
1,1,2.0,0,1,0,8.0,87.0,1,1.2714194,0.35486567,2.15538,41.38402,0,1,127.30701,True,False,False,True,False,False
2,0,2.0,0,1,0,7.0,90.0,1,1.551815,0.26464534,2.35743,48.87018,1,2,324.35455,False,True,False,False,False,True
1,1,2.0,1,0,0,10.0,99.0,1,2.2087207,0.15796413,2.14374,41.38506,1,1,168.73415,True,False,False,True,False,False
1,1,4.0,0,1,0,10.0,100.0,1,2.3603797,0.44985965,12.52317,41.88648,1,3,152.19882,False,False,True,True,False,False
2,0,2.0,1,0,0,9.0,97.0,0,2.8998609,1.7920882,12.46948,41.89181,1,3,208.54277,False,True,False,True,False,False
1,1,2.0,0,1,0,9.0,94.0,1,0.99340576,0.31572703,2.17618,41.37949,1,1,202.48097,True,False,False,True,False,False
1,1,2.0,0,1,0,9.0,91.0,1,2.903258,1.4784341,12.47158,41.8883,1,3,168.79808,False,False,True,True,False,False
2,0,5.0,1,1,0,10.0,98.0,2,0.5446976,0.19808343,12.503,41.896,1,3,178.61736,False,False,True,False,True,False
1,1,2.0,0,1,0,9.0,94.0,1,4.6063,2.28501,12.46577,41.93213,0,3,124.377525,False,True,False,False,True,False
1,1,2.0,0,0,0,9.0,91.0,1,3.380966,0.29337707,12.47877,41.876,1,3,138.40508,False,False,True,True,False,False
1,1,2.0,0,0,1,8.0,80.0,1,0.49079663,0.13955358,2.17418,41.39025,1,1,196.8953,True,False,False,True,False,False
1,1,2.0,0,0,0,9.0,92.0,1,2.1096814,0.3468659,2.14478,41.38712,1,1,300.6959,True,False,False,True,False,False
2,0,2.0,0,0,0,7.0,82.0,0,4.0242453,0.25203234,2.35166,48.89276,0,2,167.53659,False,True,False,False,False,True
1,1,2.0,1,1,0,10.0,91.0,1,4.695541,0.28081882,12.447,41.91,0,3,126.715454,False,True,False,False,True,False
1,1,2.0,0,0,1,9.0,80.0,1,2.733137,0.31458896,2.34752,48.88091,0,2,239.5377,False,True,False,False,False,True
2,0,6.0,0,0,1,9.0,87.0,2,3.2195756,0.20398553,2.14632,41.41,1,1,462.68066,True,False,False,True,False,False
2,0,2.0,0,0,0,9.0,93.0,1,2.1313214,0.29688877,2.38124,48.86032,0,2,280.54803,False,True,False,False,False,True
2,0,5.0,1,0,0,10.0,99.0,2,2.769257,0.1884858,12.51672,41.87841,1,3,277.2777,False,False,True,True,False,False
2,0,2.0,1,0,0,10.0,98.0,1,4.0121317,0.3250058,2.33411,48.8905,0,2,230.91621,True,False,False,False,False,True
1,1,2.0,0,1,0,10.0,100.0,1,3.5428927,0.16772474,2.13189,41.37321,1,1,237.15875,True,False,False,True,False,False
2,0,4.0,0,1,0,10.0,96.0,2,1.88044,0.17240374,12.48084,41.90642,1,3,381.3153,False,False,True,False,True,False
2,0,2.0,1,0,0,10.0,91.0,0,5.4454913,0.043726448,2.29305,48.8857,1,2,218.79951,True,False,False,False,False,True
1,1,2.0,0,0,0,7.0,88.0,1,1.6298229,0.20095344,2.36267,48.84345,1,2,195.49818,False,True,False,False,False,True
2,0,4.0,0,0,0,9.0,87.0,1,2.67799,1.2897035,12.47,41.9,1,3,300.42316,False,True,False,False,True,False
2,0,4.0,1,0,1,10.0,98.0,1,2.7304678,1.5805479,12.47,41.896,1,3,216.25792,False,True,False,False,True,False
2,0,4.0,0,0,0,10.0,94.0,2,4.5147486,1.8802058,12.46195,41.92818,0,3,322.86722,False,True,False,False,True,False
2,0,6.0,0,0,0,10.0,99.0,2,2.5611088,0.047812723,12.476,41.913,1,3,285.69424,False,False,True,False,True,False
1,1,2.0,0,1,0,10.0,91.0,1,3.943893,0.53266865,2.40649,48.85756,0,2,171.03178,False,True,False,False,False,True
2,0,6.0,0,0,0,10.0,100.0,1,2.4219668,0.28168228,12.48559,41.88297,1,3,323.5686,False,False,True,True,False,False
1,1,2.0,0,0,0,9.0,100.0,1,3.391181,0.020985642,2.38918,48.87535,0,2,146.56538,False,True,False,False,False,True
2,0,5.0,0,0,0,10.0,100.0,2,5.85005,0.20037177,2.27428,48.84719,1,2,1093.9818,True,False,False,False,False,True
2,0,4.0,0,1,0,8.0,80.0,1,2.8214798,1.1828735,12.46825,41.90102,0,3,209.71173,False,True,False,False,True,False
2,0,2.0,0,0,1,6.0,60.0,1,1.97467,0.54690444,12.52401,41.90806,0,3,145.41884,False,False,True,False,True,False
2,0,2.0,0,0,1,10.0,93.0,1,1.9199651,0.8861806,12.48138,41.89341,1,3,221.40135,False,False,True,False,True,False
2,0,6.0,1,0,0,10.0,99.0,2,3.9447176,1.2113494,12.455,41.897,1,3,322.63342,False,True,False,False,True,False
1,1,2.0,1,1,0,10.0,96.0,1,3.6073422,0.2231611,2.13692,41.40799,0,1,216.21245,True,False,False,True,False,False
1,1,2.0,0,0,0,9.0,88.0,0,1.8098896,0.31730768,2.35853,48.84074,1,2,351.1511,False,True,False,False,False,True
1,1,2.0,0,0,1,10.0,100.0,1,2.8507676,0.800218,2.16593,41.41263,1,1,231.34033,True,False,False,True,False,False
2,0,6.0,0,0,1,9.0,92.0,2,1.5990809,0.6309143,2.16187,41.40017,0,1,324.2023,True,False,False,True,False,False
1,1,2.0,1,1,0,10.0,96.0,1,0.9004171,0.32178506,2.18074,41.38643,0,1,208.2994,True,False,False,True,False,False
2,0,2.0,0,0,1,10.0,100.0,0,4.2354584,0.19734253,2.31262,48.88397,0,2,642.18475,True,False,False,False,False,True
2,0,4.0,0,0,0,9.0,94.0,2,5.5581503,1.7833956,12.44221,41.92306,0,3,175.34425,False,True,False,False,True,False
2,0,4.0,0,1,0,10.0,100.0,2,9.051457,2.578621,12.5566,41.83024,1,3,173.00633,False,False,True,True,False,False
2,0,3.0,1,1,0,10.0,100.0,1,1.6058744,0.5260644,12.48293,41.90172,1,3,291.30527,False,False,True,False,True,False
1,1,2.0,0,0,1,9.0,83.0,1,4.390001,0.63474536,2.30403,48.83364,0,2,180.35231,True,False,False,False,True,False
2,0,4.0,0,0,0,10.0,100.0,1,5.628891,0.53174585,2.28628,48.88189,0,2,349.98602,True,False,False,False,False,True
