room_type,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,is_weekend,realsum_cut,longitude_disc_12_401_12_471,longitude_disc_12_471_12_499,longitude_disc_12_499_12_583,latitude_disc_12_401_12_471,latitude_disc_12_471_12_499,latitude_disc_12_499_12_583
2,0,2.0,0,0,1,10.0,96.0,1,2.3509095,0.93026024,12.47393,41.90145,1,215.08896,False,True,False,False,True,False
2,0,6.0,0,0,1,9.0,88.0,2,2.8157103,1.6385523,12.471,41.891,0,246.65092,False,True,False,False,True,False
2,0,4.0,1,0,0,10.0,97.0,1,5.3114142,0.79826665,12.44,41.912,1,219.06343,True,False,False,True,False,False
2,0,3.0,0,0,0,9.0,88.0,1,2.8327758,1.4763275,12.46828,41.89836,0,169.26566,True,False,False,True,False,False
1,1,2.0,0,1,0,9.0,67.0,1,0.95434344,0.56866306,12.4945,41.90722,0,251.32677,False,True,False,False,True,False
2,0,3.0,0,1,0,9.0,89.0,1,2.5649667,0.24667084,12.52975,41.89034,1,106.37552,False,False,True,False,False,True
2,0,4.0,0,1,0,8.0,86.0,1,2.8640766,0.50347453,12.535,41.909,0,152.19882,False,False,True,False,False,True
2,0,3.0,0,0,0,8.0,71.0,1,3.9613943,1.0913414,12.46915,41.87518,0,242.20888,True,False,False,True,False,False
2,0,4.0,1,0,0,10.0,96.0,1,1.368243,0.8930556,12.51653,41.89472,1,205.97105,False,False,True,False,False,True
2,0,3.0,0,0,1,9.0,92.0,0,2.253666,1.1224862,12.47535,41.89808,1,291.77286,False,True,False,False,True,False
1,1,2.0,0,0,0,8.0,80.0,1,7.4661865,2.116158,12.41823,41.92493,0,126.715454,True,False,False,True,False,False
2,0,3.0,0,0,0,10.0,100.0,1,7.863467,2.7774284,12.41652,41.93105,0,138.17128,True,False,False,True,False,False
2,0,2.0,0,1,0,9.0,88.0,1,4.3182645,1.0077865,12.45064,41.89592,0,158.97879,True,False,False,True,False,False
2,0,6.0,1,1,0,10.0,96.0,2,4.22434,0.52910924,12.454,41.913,1,155.00432,True,False,False,True,False,False
2,0,6.0,0,0,1,9.0,89.0,2,1.0412521,0.7579606,12.496,41.909,0,214.62137,False,True,False,False,True,False
2,0,5.0,0,0,0,10.0,89.0,2,2.4716446,0.5253417,12.50922,41.87924,1,219.9986,False,False,True,False,False,True
2,0,4.0,0,0,1,9.0,92.0,1,2.629196,1.4226736,12.47093,41.8973,1,274.47223,False,True,False,False,True,False
2,0,6.0,0,0,0,10.0,96.0,3,4.150048,0.49851367,12.51699,41.93657,0,184.46216,False,False,True,False,False,True
2,0,6.0,0,1,0,9.0,93.0,3,0.51244074,0.15776232,12.505,41.905,1,465.71436,False,False,True,False,False,True
2,0,4.0,0,0,0,9.0,93.0,1,4.201848,1.1432569,12.54158,41.87706,1,120.87064,False,False,True,False,False,True
1,1,4.0,0,0,1,9.0,96.0,1,5.646192,0.43661696,12.48071,41.85266,0,119.93547,False,True,False,False,True,False
1,1,2.0,0,0,1,9.0,100.0,1,3.761039,0.6290227,12.53196,41.87531,0,80.19077,False,False,True,False,False,True
2,0,2.0,0,1,0,9.0,88.0,1,4.3182793,1.0077747,12.45064,41.89592,1,159.44638,True,False,False,True,False,False
1,1,3.0,0,0,0,10.0,90.0,1,0.9417922,0.2733427,12.491,41.902,1,189.60559,False,True,False,False,True,False
2,0,3.0,0,0,1,8.0,89.0,1,2.3241043,1.4030435,12.4753,41.89518,0,195.91798,False,True,False,False,True,False
1,1,2.0,0,0,1,8.0,80.0,1,3.6209643,0.52867097,12.52416,41.92906,0,69.20254,False,False,True,False,False,True
